cricket
futbol
volleyball
rappelling
acrobatics
acroyoga
acting
airbrushing
aircraft spotting
airplane combat
airplane flight
airsofting
alligator wrestling
amateur astronomy
amateur radio
animals/pets/dogs
ant farm
archery
arts
astrology
astronomy
backgammon
badminton
barefooting
base jumping
baseball
beach/sun tanning
beachcombing
beadwork
beatboxing
bell ringing
belly dancing
bicycle polo
bird watching
birding
blacksmithing
blobbing
blogging
bmx
board games
boating
bobsledding
body building
bonsai tree
bookbinding
boomerangs
bowling
boxing
bungee jumping
butterfly watching
button collecting
cake decorating
calligraphy
camping
candle making
canoeing
canyon swinging
car racing
cardstacking
cartooning
casino gambling
cave diving
ceramics
cheerleading
chess
church
church activities
cigar smoking
cliff diving
cloud watching
coin collecting
collecting
collecting antiques
collecting artwork
collecting hats
collecting swords
coloring
compose music
computer activities
contact juggling
conworlding
cooking
cosplay
crafts
crafts (unspecified)
crochet
crocheting
cross-stitch
crossword puzzles
cycling
dancing
darts
diecast collectibles
digital photography
diving
dodgeball
dolls
dominoes
downhill skateboarding
drawing
dumpster diving
eating out
educational courses
electronics
embroidery
entertaining
aerobics
falconry
fast cars
felting
fencing
fire poi
fishing
floorball
floral arrangements
flowboarding
fly fishing
fly hunting
fly tying
football
four wheeling
free climbing
freshwater aquariums
games
garage saleing
gardening
genealogy
geocaching
ghost hunting
glowsticking
gnoming
golf
grip strength
guitar
gun collecting
gunsmithing
gymnastics
gyotaku
handwriting analysis
hang gliding
herping
highlining
hiking
home brewing
home repair
home theater
horseback riding
hula hooping
hunting
ice climbing
ice diving
ice fishing
ice skating
illusion
impersonations
inline skating
internet
inventing
jet engines
jetboarding
jewelry making
jigsaw puzzles
jousting
juggling
jump roping
kayaking
kitchen chemistry
kite boarding
kites
knitting
knotting
lacrosse
lasers
lawn darts
leathercrafting
legos
letterboxing
locksport
macramé
magic
marksmanship
martial arts
matchstick modeling
meditation
metal detecting
microscopy
model railroading
model rockets
modeling ships
models
motocross
motorcycle stunts
motorcycles
mountain biking
mountain boarding
mountain climbing
musical instruments
nail art
needlepoint
noodling
origami
paintball
painting
papermache
papermaking
parachuting
parkour
people watching
photography
piano
pilates
pinochle
pipe smoking
planking
playing music
pole dancing
pottery
powerboking
protesting
puppetry
pyrotechnics
quilting
r/c boats
r/c cars
r/c helicopters
r/c planes
racing pigeons
rafting
rapping
reading
renaissance faire
robotics
rock balancing
rock climbing
rock collecting
rockets
roleplaying
roller derby
running
sailing
saltwater aquariums
sand castles
sandboarding
scrapbooking
scuba diving
self defense
sewing
shark diving
shark fishing
shopping
skateboarding
skeet shooting
sketching
skiing
sky diving
slack lining
slingshots
snorkeling
snow skiing
snowboarding
snowmobiling
soap making
soccer
socializing
spelunkering
squash
stamp collecting
storm chasing
storytelling
street luge
string figures
surf fishing
surfing
survival
swimming
tai chi
tatting
taxidermy
tea tasting
tennis
tesla coils
tetris
textiles
writing
tombstone rubbing
tool collecting
toy collecting
train collecting
train spotting
traveling
treasure hunting
triathlon
tutoring children
ultimate frisbee
urban exploration
video games
violin
volunteer
wakeboarding
walking
warhammer
water ski
waterfall kayaking
weightlifting
windsurfing
wine making
wingsuit flying
woodworking
wrestling
writing
writing music
writing songs
xpogo
yoga
yoyo
ziplining
zorbing
zumba
3d printing
scrapbook
baton twirling
book restoration
cabaret
computer programming
coffee roasting
cosplaying
couponing
creative writing
cryptography
dance
digital arts
drama
fashion
flower arranging
gaming
tabletop games
role-playing games
gambling
glassblowing
homebrewing
knapping
kabaddi
knife making
lacemaking
lapidary
lego building
lockpicking
machining
macrame
metalworking
model building
pet
poi
puzzles
sculpting
singing
soapmaking
sports
stand-up comedy
sudoku
table tennis
whittling
wood carving
worldbuilding
yo-yoing
air sports
backpacking
beekeeping
board sports
bodybuilding
brazilian jiu-jitsu
community
dowsing
flag football
flying
flying disc
foraging
graffiti
handball
hooping
jogging
kite flying
kitesurfing
larping
motor sports
mountaineering
mycology
netball
nordic skating
orienteering
polo
roller skating
rugby
sand art
scouting
sculling
rowing
shooting
skimboarding
skydiving
stone skipping
taekwondo
vacation
vehicle restoration
water sports
extreme
performing arts
outdoors
high tech
pets
intellectual
music
educational
rc hobbies
